	id	title	original_air_date	production_code	season	number_in_season	number_in_series	us_viewers_in_millions	views	imdb_rating	imdb_votes	image_url	video_url
295	126	The Springfield Connection	1995-05-07	2F21	6	23	126	12.7	79777.0	8.2	1003.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/712/918/Simpsons_06_21.jpg	http://www.simpsonsworld.com/video/305689155572
296	145	Homer the Smithers	1996-02-25	3F14	7	17	145	14.1	68354.0	8.9	1609.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/213/871/Simpsons_07_16.jpg	http://www.simpsonsworld.com/video/277248579634
297	112	Homer Badman	1994-11-27	2F06	6	9	112	17.0	71577.0	9.0	1655.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/829/739/homner_badman.jpg	http://www.simpsonsworld.com/video/275746883653
298	115	Homer the Great	1995-01-08	2F09	6	12	115	20.1	71002.0	8.9	1457.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/828/763/Simpsons_06_11__977485.jpg	http://www.simpsonsworld.com/video/275745859881
299	138	The Simpsons 138th Episode Spectacular	1995-12-03	3F31	7	10	138	16.4	56153.0	7.5	1038.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/173/987/Simpsons_07_25_Spectacular.jpg	http://www.simpsonsworld.com/video/324451395934
300	141	Two Bad Neighbors	1996-01-14	3F09	7	13	141	16.5	64224.0	8.7	1264.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/995/179/Simpsons_07_11.jpg	http://www.simpsonsworld.com/video/276994115834
301	144	Lisa the Iconoclast	1996-02-18	3F13	7	16	144	13.4	58795.0	8.1	1039.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/2/111/Simpsons_07_15.jpg	http://www.simpsonsworld.com/video/302796355658
302	136	Mother Simpson	1995-11-19	3F06	7	8	136	15.3	61085.0	8.5	1226.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/985/419/Simpsons_07_08.jpg	http://www.simpsonsworld.com/video/276983875726
303	150	"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""	1996-04-28	3F19	7	22	150	13.0	69120.0	8.3	1122.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/531/87/Simpsons_07_21.jpg	http://www.simpsonsworld.com/video/279728707597
304	152	Homerpalooza	1996-05-19	3F21	7	24	152	12.9	60569.0	8.0	1095.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/1008/867/Simpsons_07_23.jpg	http://www.simpsonsworld.com/video/277008451637
305	181	Lisa's Sax	1997-10-19	3G02	9	3	181	12.9	20008.0	8.1	980.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/545/251/Simpsons_09_01.jpg	http://www.simpsonsworld.com/video/279743555749
306	166	Simpsoncalifragilisticexpiala(Annoyed Grunt)cious	1997-02-07	3G03	8	13	166	17.7	57608.0	7.7	1088.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/318/103/Simpsons_08_04.jpg	http://www.simpsonsworld.com/video/436271683676
307	154	Treehouse of Horror VII	1996-10-27	4F02	8	1	154	18.3	102077.0	8.3	1186.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/49/711/Simpsons_08_06__754432.jpg	http://www.simpsonsworld.com/video/299625027835
308	169	Brother from Another Series	1997-02-23	4F14	8	16	169	15.1	56659.0	8.2	1100.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/341/551/Simpsons_08_18.jpg	http://www.simpsonsworld.com/video/436296259771
309	156	The Homer They Fall	1996-11-10	4F03	8	3	156	17.0	61146.0	8.0	1085.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/283/431/Simpsons_08_07__807077.jpg	http://www.simpsonsworld.com/video/288058947803
310	158	Bart After Dark	1996-11-24	4F06	8	5	158	14.1	60210.0	8.2	1098.0	http://static-media.fxx.com/img/FX_Networks_-_FXX/558/375/Simpsons_08_10.jpg	http://www.simpsonsworld.com/video/294789699801
