id,user,uid,version,changeset,timestamp
10496924,Dami_Tn,2012449,8,25505488,2014-09-17T17:29:19Z
10496926,DaveHansenTiger,7168,1,336370,2007-10-28T14:25:47Z
10496927,fossosm,3686832,2,41526049,2016-08-18T04:22:32Z
10496928,DaveHansenTiger,7168,1,336370,2007-10-28T14:25:49Z
10496934,NE2,207745,4,13311189,2012-09-30T16:02:37Z
10496935,42429,42429,2,769826,2009-03-09T16:44:17Z
10496938,esuor,594525,6,10615010,2012-02-07T18:46:51Z
10496941,NE2,207745,4,13339919,2012-10-02T20:39:41Z
10496942,DaveHansenTiger,7168,1,336370,2007-10-28T14:26:04Z
10496948,Dami_Tn,2012449,5,25101422,2014-08-29T16:50:36Z
10496949,Brian@Brea,416346,2,22625204,2014-05-29T19:16:04Z
10496950,42429,42429,2,769826,2009-03-09T16:44:46Z
10496951,StellanL,28775,2,25939795,2014-10-08T13:51:36Z
10496952,Timothy Smith,115918,2,44860642,2017-01-03T02:30:17Z
10496953,42429,42429,2,769826,2009-03-09T16:44:56Z
10496954,RetiredInNH,232126,3,13725600,2012-11-02T17:57:13Z
10496955,42429,42429,2,769826,2009-03-09T16:48:00Z
10496956,42429,42429,2,769826,2009-03-09T16:43:14Z
10496957,42429,42429,2,769826,2009-03-09T16:42:53Z
10496958,42429,42429,2,769826,2009-03-09T16:44:58Z
10496963,42429,42429,2,769826,2009-03-09T16:43:50Z
10496983,Dami_Tn,2012449,5,25084846,2014-08-28T22:30:09Z
10496986,NE2,207745,4,13291589,2012-09-29T00:41:49Z
10497003,oba510,933797,9,29236883,2015-03-04T06:02:35Z
10497015,DaveHansenTiger,7168,1,336370,2007-10-28T14:27:09Z
10497016,DaveHansenTiger,7168,1,336370,2007-10-28T14:27:09Z
10497020,NE2,207745,4,13476478,2012-10-13T09:33:35Z
10497023,StellanL,28775,6,24486598,2014-08-01T18:45:06Z
10497024,Rub21,510836,8,39459265,2016-05-20T20:23:39Z
10497046,AndrewSnow,371121,2,26633612,2014-11-08T02:52:47Z
10497048,AndrewSnow,371121,2,26633612,2014-11-08T02:52:47Z
10497058,mvexel,8909,4,21257562,2014-03-23T05:35:49Z
10497060,balcoath,74275,4,22346071,2014-05-15T05:46:32Z
10497066,DaveHansenTiger,7168,1,336370,2007-10-28T14:27:55Z
10497071,DaveHansenTiger,7168,1,336370,2007-10-28T14:28:01Z
